bvsp,volume,moving_average_1,moving_average_2,moving_average_3,moving_average_9,moving_average_12,cmp_moving_average_1_moving_average_9,cmp_moving_average_1_moving_average_12,cmp_moving_average_2_moving_average_9,cmp_moving_average_2_moving_average_12,cmp_moving_average_3_moving_average_9,cmp_moving_average_3_moving_average_12,OBV,obv_ma_1,obv_ma_2,obv_ma_3,obv_ma_9,obv_ma_12,cmp_obv_ma_1_obv_ma_9,cmp_obv_ma_1_obv_ma_12,cmp_obv_ma_2_obv_ma_9,cmp_obv_ma_2_obv_ma_12,cmp_obv_ma_3_obv_ma_9,cmp_obv_ma_3_obv_ma_12,mom_9,mom_12,selic,bvsp_returns,risk_premium
14441.44,4651414918000.0,14441.44,15166.045,16000.743333333332,15687.769999999999,15708.353333333334,0.0,0.0,0.0,0.0,1.0,1.0,1.4370010318281e+16,1.4370010318281e+16,1.437233602574e+16,1.4374595385789e+16,1.4374966424659e+16,1.4376504310160416e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002680274198661239,-0.09119891256808244,-0.09387919
14877.14,5939481585000.0,14877.14,14659.29,15069.743333333332,15510.25,15648.429166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4375949799866e+16,1.4375949799866e+16,1.43729800590735e+16,1.4373540617115334e+16,1.4374945135583222e+16,1.4375924413938e+16,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027116423978401105,0.030170121539126127,0.02745848
14654.43,4350074306000.0,14654.43,14765.785,14657.669999999998,15209.663333333334,15622.353333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.437159972556e+16,1.437159972556e+16,1.4373774762713e+16,1.4372519947902334e+16,1.4373913382161334e+16,1.4375378723803334e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027987412817400427,-0.014969947180708099,-0.01776869
14579.3,3623631290000.0,14579.3,14616.865,14703.623333333331,15057.387777777776,15441.733333333335,0.0,0.0,0.0,0.0,0.0,0.0,1.436797609427e+16,1.436797609427e+16,1.4369787909915e+16,1.4371841873232e+16,1.4372999940850002e+16,1.4374185286802248e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028292528598908586,-0.005126777363568591,-0.00795603
13757.49,3926633063000.0,13757.49,14168.395,14330.406666666664,14935.122222222222,15215.289166666667,0.0,0.0,0.0,0.0,0.0,0.0,1.4364049461207e+16,1.4364049461207e+16,1.43660127777385e+16,1.4367875093679e+16,1.4372007830352444e+16,1.4373177625107166e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,-0.056368275568785875,-0.05920664
12848.99,5019969551000.0,12848.99,13303.24,13728.593333333332,14884.632222222222,14839.395833333334,0.0,0.0,0.0,0.0,0.0,0.0,1.4359029491656e+16,1.4359029491656e+16,1.43615394764315e+16,1.4363685015711e+16,1.4370895766952444e+16,1.437135629054875e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028410244073441395,-0.06603675525113961,-0.06887778
10633.44,5000925408000.0,10633.44,11741.215,12413.306666666665,14372.557777777776,14396.367499999998,0.0,0.0,0.0,0.0,0.0,0.0,1.4354028566248e+16,1.4354028566248e+16,1.4356529028952e+16,1.4359035839703666e+16,1.4368491032908222e+16,1.4369508915563416e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,-0.17242989526803265,-0.17526825
11362.01,5955654760000.0,11362.01,10997.725,11614.813333333334,13671.654444444446,14105.045,0.0,0.0,0.0,0.0,0.0,0.0,1.4359984221008e+16,1.4359984221008e+16,1.4357006393628e+16,1.4357680759637334e+16,1.436636549014389e+16,1.4368426062673666e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,0.06851686754239461,0.06567851
12913.88,5293539460000.0,12913.88,12137.945,11636.44333333333,13340.902222222221,14072.585,0.0,0.0,0.0,0.0,0.0,0.0,1.4365277760468e+16,1.4365277760468e+16,1.4362630990738e+16,1.4359763515908e+16,1.4365322826507112e+16,1.4368112704191334e+16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028383594636897415,0.13658410791752496,0.13374575
13585.79,5184964531000.0,13585.79,13249.835,12620.559999999998,13245.83,13934.558333333334,1.0,0.0,1.0,0.0,0.0,0.0,1.4370462724999e+16,1.4370462724999e+16,1.43678702427335e+16,1.4365241568825e+16,1.4365373093920224e+16,1.4367678666887416e+16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0028383594636897415,0.05203006377634001,0.0491917
